Date,Open,High,Low,Close,Adj Close,Volume,date,z
1970/7/10,12.15344238,12.16539192,11.89053535,0.014602521,2.65685463,621324,1970/7/10,0.934430583
1970/7/13,11.96223736,12.0458889,11.71128082,0.013996606,2.630314112,870272,1970/7/13,0.935072403
1970/7/14,11.84273434,12.03393936,11.84273434,0.014844886,2.667471647,761488,1970/7/14,0.934173835
1970/7/15,12.01003838,12.09368992,11.95028687,0.015026658,2.675434589,893284,1970/7/15,0.93398127
1970/7/16,12.05783939,12.21319294,12.05783939,0.015511388,2.696668625,1052276,1970/7/16,0.933467774
1970/7/17,12.22514343,12.428298,12.22514343,0.016844402,2.755058289,1320052,1970/7/17,0.932055756
1970/7/20,12.40439796,12.54780102,12.32074642,0.016480852,2.739137411,1158968,1970/7/20,0.932440765
1970/7/21,12.33269596,12.34464645,12.24904442,0.016420264,2.736481905,504172,1970/7/21,0.932504982
1970/7/22,12.32074642,12.38049698,12.12356567,0.015511388,2.696668625,1050184,1970/7/22,0.933467774
1970/7/23,12.14149094,12.35659695,12.1175909,0.016238487,2.728518486,1209176,1970/7/23,0.932697559
1970/7/24,12.23709393,12.23709393,12.09368992,0.0154508,2.694014549,809604,1970/7/24,0.933531957
1970/7/27,12.1295414,12.18929291,12.01003838,0.01532962,2.688705444,441412,1970/7/27,0.933660345
1970/7/28,12.10564137,12.1295414,12.01003838,0.015208435,2.683397532,629692,1970/7/28,0.933788704
1970/7/29,12.08174038,12.14149094,12.05783939,0.015147843,2.680743456,705004,1970/7/29,0.933852887
1970/7/30,12.06978989,12.17734241,12.06978989,0.015390208,2.691359043,658980,1970/7/30,0.933596174
1970/7/31,12.10564137,12.10564137,12.00406265,0.01508725,2.690826416,638060,1970/7/31,0.933609054
1970/8/3,12.03991413,12.03991413,11.8606596,0.014360156,2.658823013,755212,1970/8/3,0.934382982
1970/8/4,11.91443634,11.9741869,11.80688286,0.014602521,2.669491768,843076,1970/8/4,0.934124983
1970/8/5,11.96223736,11.98613834,11.91443634,0.014481341,2.664157152,351456,1970/8/5,0.934253988
1970/8/6,11.93833733,11.93833733,11.83078384,0.014178379,2.650823832,437228,1970/8/6,0.934576423
1970/8/7,11.87858486,11.90248585,11.71128082,0.013451284,2.618822813,755212,1970/8/7,0.935350293
1970/8/10,11.73518181,11.73518181,11.40057373,0.012239455,2.565484524,1198716,1970/8/10,0.936640156
1970/8/11,11.46032524,11.46032524,11.2930212,0.011694133,2.541485786,776132,1970/8/11,0.937220509
1970/8/12,11.26912022,11.26912022,11.01816368,0.009846101,2.460145712,1286580,1970/8/12,0.939187529
1970/8/13,10.99426365,10.99426365,10.45650101,0.007998059,2.378806829,3395316,1970/8/13,0.941154521
1970/8/14,10.75525761,10.98828888,10.75525761,0.009664324,2.452145338,1156876,1970/8/14,0.939381
1970/8/17,10.98828888,11.24522018,10.87476063,0.010967039,2.509481192,805420,1970/8/17,0.937994466
1970/8/18,11.25716972,11.48422623,11.25716972,0.012057683,2.55748415,1228004,1970/8/18,0.936833626
1970/8/19,11.46032524,11.60372829,11.41252422,0.012057683,2.55748415,730108,1970/8/19,0.936833626
1970/8/20,11.46032524,11.69933128,11.28107071,0.013269512,2.610822201,914204,1970/8/20,0.93554377
1970/8/21,11.69933128,11.95028687,11.65153027,0.014360156,2.658823013,1131772,1970/8/21,0.934382982
1970/8/24,12.14149094,12.55975056,12.14149094,0.017632084,2.802833557,2190324,1970/8/24,0.930900422
1970/8/25,12.55975056,12.81070709,12.428298,0.017935046,2.816166401,1690336,1970/8/25,0.930577999
1970/8/26,12.61950302,12.90631008,12.571702,0.017874453,2.813502073,1152692,1970/8/26,0.930642429
1970/8/27,12.60755253,12.7987566,12.46414948,0.018237998,2.829500198,893284,1970/8/27,0.930255552
1970/8/28,12.67925358,12.97801113,12.67925358,0.019692192,2.893505096,956044,1970/8/28,0.928707742
1970/8/31,12.8824091,12.8824091,12.7270546,0.018480363,2.840167046,589944,1970/8/31,0.929997599
1970/9/1,12.67925358,12.67925358,12.47609901,0.017904752,2.814831734,857720,1970/9/1,0.930610274
1970/9/2,12.61352825,12.61950302,12.39244747,0.017935046,2.816166401,859812,1970/9/2,0.930577999
1970/9/3,12.70315456,12.91825962,12.70315456,0.019328642,2.877503633,868180,1970/9/3,0.929094701
1970/9/4,12.89435863,13.09751415,12.8704586,0.019873969,2.901504517,817972,1970/9/4,0.928514295
1970/9/8,13.00191212,13.14531517,12.76290607,0.020601064,2.933505774,979056,1970/9/8,0.927740419
1970/9/9,13.14531517,13.22896671,12.91825962,0.020116334,2.912172079,1020896,1970/9/9,0.928256325
1970/9/10,12.94216061,12.94216061,12.81070709,0.018965097,2.861502886,797052,1970/9/10,0.929481641
1970/9/11,12.82265759,12.9541111,12.82265759,0.019086277,2.866836548,518816,1970/9/11,0.929352659
1970/9/14,12.84655762,12.93021011,12.64340305,0.018419775,2.837501287,834708,1970/9/14,0.930062064
1970/9/15,12.71510506,12.73900604,12.58365154,0.018510666,2.84150219,525092,1970/9/15,0.929965312
1970/9/16,12.73303127,12.97801113,12.72107983,0.019631604,2.890837669,596220,1970/9/16,0.928772248
1970/9/17,13.04971313,13.24091816,13.04971313,0.020964613,2.94950819,807512,1970/9/17,0.927353438
1970/9/18,13.2528677,13.61137676,13.2528677,0.021873485,2.989509106,882824,1970/9/18,0.926386109
1970/9/21,13.39627171,13.40224743,13.08556366,0.020722248,2.938840151,935124,1970/9/21,0.92761142
1970/9/22,13.15726566,13.15726566,12.97801113,0.020176922,2.914839268,688268,1970/9/22,0.928191825
1970/9/23,13.08556366,13.43212223,13.08556366,0.022055257,2.997511625,1297040,1970/9/23,0.926192587
1970/9/24,13.4799242,13.79063129,13.4799242,0.023873001,3.077515602,1543896,1970/9/24,0.924257877
1970/9/25,13.79063129,13.92208385,13.71892929,0.023873001,3.077515602,884916,1970/9/25,0.924257877
1970/9/28,13.79063129,13.95793533,13.71892929,0.024236551,3.09351635,516724,1970/9/28,0.923870936
1970/9/29,13.8623333,13.99378586,13.67112827,0.024660688,3.112184286,801236,1970/9/29,0.923419496
1970/9/30,13.94598484,14.12523937,13.93403435,0.024660688,3.112184286,893284,1970/9/30,0.923419496
1970/10/1,13.94598484,14.19694138,13.94598484,0.025933109,3.168188334,518816,1970/10/1,0.922065168
1970/10/2,14.2327919,14.38814545,14.2327919,0.026478426,3.19219017,1018804,1970/10/2,0.92148474
1970/10/5,14.36424541,14.72275257,14.36424541,0.02829617,3.27219224,765672,1970/10/5,0.919550076
1970/10/6,14.67495155,14.80640507,14.67495155,0.028387056,3.276193857,853536,1970/10/6,0.919453306
1970/10/7,14.67495155,14.67495155,14.41204643,0.028053805,3.261525631,728016,1970/10/7,0.919808023
